"ID Card","CPAO","Owner","Acres","Unit","Block","Lot","St #","St Name","City"
"X408","Brevard","MPX","0.23","49","2586","36","2398","BOLTON AVE  SW","Palm Bay"
"X426","Brevard","MPX","0.23","49","2619","6","851","BOMBARDIER  ","Palm Bay"
"X428","Brevard","MPX","0.23","49","2622","23","1680","GARVEY  SW","Palm Bay"
"X429","Brevard","MPX","0.23","49","2623","17","727","DIRCKSON ST  SW","Palm Bay"
"X430","Brevard","MPX","0.23","49","2625","10","726","PERKINS ST  SW","Palm Bay"
"X434","Brevard","MPX","0.23","49","2637","10","1419","MADDEN AVE  SW","Palm Bay"
"X46","Brevard","MPX","0.23","18","962","4","1670","SANTONIAN ST  SE","Palm Bay"
"X74","Brevard","MPX","0.23","23","1109","26","1067","WESLACO ST  SE","Palm Bay"
"X83","Brevard","MPX","0.23","23","1123","18","1961","COGAN DR SE","Palm Bay"
"X95","Brevard","MPX","0.23","23","1767","14","1295","WESTUNDER ST SE","Palm Bay"
"XA421","Brevard","MPX","0.27","32","1567","1","499","LA COCO ST ","Palm Bay"
"XS257327","Brevard","MPX","0.23","49","2573","27","2650","GINGER AV  SW","Palm Bay"
